n,d,k,t,i,m,flag,objVal1,gap1,elapsedTime1,objVal2,gap2,elapsedTime2,totalElapsedTime,nSolution,sumPenalty,sumEdgeCost,objVal2*totalElapsedTime,nSolution/n,sumPenalty/objVal2,sumEdgeCost/objVal2
100,0.7,10,1,1,0,1,-6.68831,0,25956271,1502,0,46467455,72423726,32,899,603,1.0878e+11,0.32,0.598535,0.401465
100,0.7,10,1,2,0,1,-5.25368,0,23418674,1671,0,15570569,38989243,32,1059,612,6.5151e+10,0.32,0.633752,0.366248
100,0.7,20,0,0,0,1,-12.6578,0,22335412,1085,0,8223936,30559348,11,708,377,3.31569e+10,0.11,0.652535,0.347465
100,0.7,20,0,1,0,1,-12.8636,0,23088135,1033,0,4929381,28017516,10,643,390,2.89421e+10,0.1,0.622459,0.377541
100,0.7,20,0,2,0,1,-12.899,0,27526347,1042,0,6919802,34446149,11,676,366,3.58929e+10,0.11,0.648752,0.351248
100,0.7,20,1,0,0,1,-9.57459,0,23301335,1564,0,5037505,28338840,10,1197,367,4.43219e+10,0.1,0.765345,0.234655
100,0.7,20,1,1,0,1,-7.66108,0,29433584,1633,0,7945578,37379162,11,1279,354,6.10402e+10,0.11,0.783221,0.216779
100,0.7,20,1,2,0,1,-9.51663,0,28315053,1470,0,7363059,35678112,11,1095,375,5.24468e+10,0.11,0.744898,0.255102
200,0.3,0,0,0,0,0,-0.166667,0,145593170,1e+100,1e+100,60249488059,60395081229,0,1501,0,6.03951e+110,0,1.501e-97,0
200,0.3,0,0,1,0,1,-0.45,0,144276747,11032,0.813814,60290121625,60434398372,196,32,11000,6.66712e+14,0.98,0.00290065,0.997099
200,0.3,0,0,2,0,0,-0.0909091,0,144448853,1e+100,1e+100,60281601067,60426049920,0,1547,0,6.0426e+110,0,1.547e-97,0
200,0.3,0,1,0,0,0,-0.174145,0,143349579,1e+100,1e+100,60282325012,60425674591,0,3011,0,6.04257e+110,0,3.011e-97,0
200,0.3,0,1,1,0,0,-0.474697,0,143316814,1e+100,1e+100,60299716689,60443033503,0,2883,0,6.0443e+110,0,2.883e-97,0
200,0.3,0,1,2,0,0,-0.223232,0,144062147,1e+100,1e+100,60305558839,60449620986,0,2896,0,6.04496e+110,0,2.896e-97,0
200,0.3,10,0,0,0,1,-26.4379,0,97789364,1920,0,296038564,393827928,34,1174,746,7.5615e+11,0.17,0.611458,0.388542
200,0.3,10,0,1,0,1,-22.7939,0,100197760,2013,0,37870284,138068044,37,1242,771,2.77931e+11,0.185,0.61699,0.38301
200,0.3,10,0,2,0,1,-21.8537,0,97650021,2044,0,20101480,117751501,33,1342,702,2.40684e+11,0.165,0.656556,0.343444
200,0.3,10,1,0,0,1,-12.7553,0,94923974,3179,0,99138362,194062336,34,2436,743,6.16924e+11,0.17,0.766279,0.233721
200,0.3,10,1,1,0,1,-13.5482,0,98529868,3203,0,18306644,116836512,35,2473,730,3.74227e+11,0.175,0.772089,0.227911
200,0.3,10,1,2,0,1,-12.1122,0,92321636,3291,0,28950918,121272554,31,2624,667,3.99108e+11,0.155,0.797326,0.202674
200,0.3,20,0,0,0,1,-25.2565,0,104853737,1857,0,9289281,114143018,11,1481,376,2.11964e+11,0.055,0.797523,0.202477
200,0.3,20,0,1,0,1,-26.4711,5.46172e-05,347724737,1837,0,6179566,353904303,11,1428,409,6.50122e+11,0.055,0.777354,0.222646
200,0.3,20,0,2,0,1,-25.9677,0,118659790,1914,0,8592657,127252447,12,1484,430,2.43561e+11,0.06,0.77534,0.22466
200,0.3,20,1,0,0,1,-16.9544,0,101797132,3096,0,8932323,110729455,11,2697,399,3.42818e+11,0.055,0.871124,0.128876
200,0.3,20,1,1,0,1,-15.0811,0,102740765,3318,0,7482952,110223717,12,2923,395,3.65722e+11,0.06,0.880952,0.119048
200,0.3,20,1,2,0,1,-15.091,0,136188439,3175,0,8076345,144264784,11,2797,378,4.58041e+11,0.055,0.880945,0.119055
200,0.5,0,0,0,0,0,-0.125,0,147569141,1e+100,1e+100,60322946506,60470515647,0,1534,0,6.04705e+110,0,1.534e-97,0
200,0.5,0,0,1,0,1,-0.0714286,0,150150496,10348,0.850309,60282302346,60432452842,199,13,10335,6.25355e+14,0.995,0.00125628,0.998744
200,0.5,0,0,2,0,0,-0.333333,0,149150696,1e+100,1e+100,60258802389,60407953085,0,1479,0,6.0408e+110,0,1.479e-97,0
200,0.5,0,1,0,0,1,-0.0555556,0,151357774,10265,0.850755,60304323895,60455681669,199,17,10248,6.20578e+14,0.995,0.00165611,0.998344
